# ahrs_csv source=esp32-c3 algo=vqf-c accel_unit=g gyro_unit=rad/s frame=hand bias_subtracted=1 nominal_fs=100
t_us,gx,gy,gz,ax,ay,az,qw,qx,qy,qz
5683432,0.01327407,0.08156554,6.568991e-05,0.018311,0.030945,1.0322,0.9997692,0.01424017,-0.01609224,0.0001367896
5696185,0.005684063,0.03695759,-0.0007332582,0.042175,0.027222,1.0173,0.9997713,0.01426337,-0.01593554,0.0001363167
5709123,0.01234196,0.07836974,0.008055175,0.012146,0.041504,1.0398,0.999777,0.01435817,-0.0154858,0.0001814111
5721620,9.141862e-05,0.006198078,0.07077262,0.028687,0.040771,1.0298,0.999777,0.01438532,-0.01545044,0.0005346328
5734383,-0.003503848,-0.04253777,0.1073911,0.031433,0.035706,1.0281,0.9997733,0.01437734,-0.01566808,0.00106744
5746963,-0.007764906,-0.06011464,0.06065261,0.034302,0.016663,1.0146,0.9997692,0.01429905,-0.01597793,0.001365955
5759797,-0.001905948,-0.02109932,0.03135783,0.039062,0.034363,1.0284,0.9997669,0.01430135,-0.01610198,0.001520671
5772484,-0.001639634,-0.02083301,0.02083835,0.042908,0.047302,1.0278,0.9997641,0.01434203,-0.01623389,0.001622393
5785243,-0.006167009,-0.04320356,0.04627153,0.056091,0.039185,1.0193,0.9997591,0.01433599,-0.01651544,0.00185014
5797915,-0.006566484,-0.04400251,0.06185103,0.024536,0.0094604,1.0194,0.9997566,0.01424416,-0.016713,0.002155771
5810593,-0.0008406863,-0.02163196,0.06198419,0.019592,0.02063,1.0345,0.9997552,0.01421091,-0.01678322,0.00246343
5823252,-0.0004412085,-0.03148565,0.1562601,0.030701,0.036133,1.0187,0.9997501,0.014216,-0.01694053,0.003241384
5835839,-0.003237531,-0.03827671,0.1942101,0.033264,0.02179,1.0162,0.9997439,0.01416524,-0.01714082,0.004209069
5848427,-0.00456911,-0.04133935,0.178897,0.011536,0.0061646,1.0266,0.9997385,0.01406631,-0.01729457,0.005099776
5861018,-0.02068124,-0.05066041,0.06291629,0.022644,0.0053101,1.0366,0.9997354,0.01389551,-0.01751534,0.005409139
5873807,-0.09391817,-0.1045894,-0.125236,0.049194,0.038452,1.0199,0.9997347,0.01346996,-0.01806429,0.004767134
5886270,-0.1007092,-0.1093831,-0.1173797,0.075684,0.062561,0.99738,0.9997309,0.01307818,-0.0187071,0.00416302
5898681,-0.09831238,-0.1028584,-0.05546122,0.050781,0.026306,1.0225,0.9997278,0.01259606,-0.01924943,0.003869818
5911355,-0.119884,-0.1088505,0.006457277,0.074768,0.012695,1.0168,0.9997231,0.0119682,-0.01988667,0.003884995
5923800,-0.1624946,-0.1333516,0.0746342,0.086975,-0.022766,1.0336,0.9997164,0.011032,-0.02067732,0.004237285
5936092,-0.1691525,-0.1242968,-0.0212396,0.10266,-0.014465,1.0242,0.9997103,0.01010021,-0.02145471,0.004109887
5948591,-0.1622283,-0.1028584,-0.1659824,0.06427,0.022522,1.0164,0.9997089,0.009318994,-0.02201425,0.003257485
5961083,-0.1003098,-0.059582,-0.3224431,0.078491,0.048218,1.0171,0.9997082,0.00893218,-0.02238364,0.001630541
5973504,-0.05450338,-0.02349617,-0.4573322,0.018372,0.053894,1.0301,0.9997099,0.008803283,-0.02240936,-0.0006656831
5986530,-0.04012231,-0.0322846,-0.4176511,0.0098877,0.023438,1.0381,0.9997064,0.008663367,-0.022458,-0.002760762
5999285,-0.02560809,-0.04240461,-0.3912858,0.020935,0.00061035,1.0211,0.9996973,0.00853558,-0.02258822,-0.004721288
